trial,acc5,captain_alpha,team_alpha,meta_window,learning_rate,num_leaves,max_depth,min_child_samples,subsample,colsample_bytree,reg_alpha,reg_lambda,min_split_gain
13,0.485,7.7382578018207955,40.08187695237324,9000,0.04481053671661708,33,6,8,0.8445779114924311,0.5925101071718902,0.05039156628791337,2.080962230659839,0.7006073144957847
30,0.485,6.940964662662774,30.228585425586793,7000,0.019793392156898893,52,7,10,0.7789940587463186,0.8099437153093286,0.0014546652530740402,0.2831445158596251,0.5777434839578773
11,0.48,7.581425700676984,34.7220794903364,10000,0.03555602820415242,31,6,5,0.982017219105784,0.6134420640316698,1.456609683767737,0.06921520171399309,0.6768180580956149
0,0.475,14.124115025060345,89.2718030435363,12000,0.050591436432963696,47,5,5,0.9330880728874675,0.7606690070459253,0.6796578090758157,0.012087541473056965,0.9699098521619943
12,0.475,6.113501498154156,43.601497030382774,9000,0.023770468892938712,47,6,5,0.9921852625631664,0.6877973022778445,1.8118142423708203,0.04192370172616216,0.9962186308716598
34,0.475,7.352834919644755,23.559755603237015,7000,0.031057279415151896,51,7,6,0.6715897613441151,0.5796198738258151,0.33555143899358736,0.8674509622887792,0.7065310628398085
3,0.47,11.634869883368138,12.521954287060394,11000,0.03293513898890987,43,8,5,0.954660201039391,0.5552679889600102,0.44677528179739073,0.17654048052495078,0.5200680211778108
18,0.47,6.31685484259584,57.41281413915392,10000,0.031173191634337676,40,7,21,0.5061560563449361,0.7187033576896094,0.017958238637404474,0.6755684203367475,0.40741615191548575
19,0.46,9.936488729823383,27.037113939835866,7000,0.0792228474051481,59,5,6,0.9987349142404865,0.6194170126484048,3.3394302250945223,9.735323727668412,0.8464973375466269
15,0.455,31.53480426986556,47.52325252675587,9000,0.04230066750278542,153,7,9,0.8163597946543152,0.5750625243982416,0.048155233173689756,1.97132336786244,0.639599058247322
28,0.455,15.087050017984637,98.45520626890199,9000,0.06360201362842527,37,9,18,0.9002611371701631,0.663328009991796,0.1052565818836088,1.1240370354173785,0.28265802254610045
6,0.445,5.077141833706189,65.38248584518041,11000,0.07200770311577641,268,4,14,0.5579345297625649,0.9178620555253562,0.3113095956122124,0.2106648601704221,0.06355835028602363
1,0.435,50.272539328733316,16.305687346221475,4000,0.016432378919707624,72,8,17,0.645614570099021,0.7671117368334277,0.003613894271216527,0.14742753159914673,0.3663618432936917
7,0.435,11.84213566662874,21.143813626634362,12000,0.05621157696543969,372,8,7,0.8566223936114975,0.8564710291701385,0.1758364027000852,12.130221181165169,0.49379559636439074
2,0.405,17.70651068448003,60.978391095315125,4000,0.04025192252635066,162,4,30,0.5852620618436457,0.43903095579116774,6.24513957474307,72.86653737491046,0.8083973481164611
4,0.32,22.765373314619545,15.30574436550018,15000,0.08158812228791566,431,12,29,0.9609371175115584,0.4530955012311517,0.006080390190296602,0.015167330688076212,0.32533033076326434
